,id,name,short_description,gender,country,occupation,birth_year,death_year,manner_of_death,age_of_death,agerange
393054,Q4492917,Gennady Frolov,actor,Male,Soviet Union,Artist,1961,1990.0,,29.0,18-29
393277,Q4495901,Andrey Kharitonov,actor,Male,Russia; Soviet Union,Artist,1959,2019.0,,60.0,50-59
393307,Q4496083,Frederick Hart,artist,Male,United States of America,Artist,1943,1999.0,,56.0,50-59
393333,Q4496724,Garegin Khachatryan,artist,Male,Armenia,Artist,1975,1995.0,,20.0,
393334,Q4496733,Albert Xachaturov,film,Male,Soviet Union,Artist,1930,1976.0,,46.0,40-49
393372,Q4497200,Margarita Khemlin,writer,Female,Russia; Soviet Union,Artist,1960,2015.0,,55.0,50-59
393399,Q4497425,Levon Khechoyan,writer,Male,Armenia,Artist,1955,2014.0,,59.0,
393405,Q4497521,Dianne Heatherington,actor,Female,Canada,Artist,1948,1996.0,natural causes,48.0,40-49
393414,Q4497589,José Roberto Hill,actor,Male,Mexico,Artist,1945,2005.0,,60.0,50-59
393439,Q4497934,Stanislav Khitrov,actor,Male,Soviet Union,Artist,1936,1985.0,,49.0,40-49
393540,Q4499898,Francis Bell,,Male,Australia,Artist,1944,1994.0,suicide,50.0,40-49
393616,Q4501937,Alexei Khrynov,,Male,,Artist,1965,2008.0,,43.0,40-49
393699,Q4503305,Vyacheslav Tsaryov,actor,Male,Russia; Soviet Union,Artist,1951,2006.0,,55.0,50-59
393803,Q4506043,Marianna Tsoy,writer,,Russia; Soviet Union,Artist,1959,2005.0,,46.0,40-49
394051,Q4514260,Yury Chernykh,writer,Male,Russia; Soviet Union,Artist,1936,1994.0,,58.0,50-59
394141,Q4516103,Scott Ciencin,writer,Male,United States of America,Artist,1962,2014.0,,52.0,50-59
394160,Q4516607,Viktor Chistiakov,actor,Male,Soviet Union,Artist,1943,1972.0,,29.0,18-29
394184,Q4516768,Evgenij Viktorovich Chicherin,musician,Male,Russia; Soviet Union,Artist,1972,1999.0,suicide,27.0,18-29
394193,Q4516981,Alexander Chmykhalov,actor,Male,Ukraine,Artist,1986,2015.0,,29.0,18-29
394207,Q4517600,Sergeĭ Chudakov,,,,Artist,1937,1997.0,,60.0,50-59
394380,Q4521001,"Шатько, Антон Евгеньевич",,Male,,Artist,1967,2005.0,,38.0,30-39
394392,Q4521165,Adnan Szachbułatow,composer,Male,Soviet Union,Artist,1937,1992.0,,55.0,50-59
394481,Q4522079,"Шевченко, Леонид Витальевич",,,,Artist,1972,2002.0,,30.0,18-29
394546,Q4523187,Alexandra Cheron,actress,Female,United States of America,Artist,1983,2011.0,,28.0,18-29
394610,Q4523958,Anatoliy Stepanovitsj Sjiljaev,writer,Male,Soviet Union,Artist,1938,1987.0,,49.0,40-49
394709,Q4525579,Gennady Smakov,,Male,,Artist,1940,1988.0,,48.0,40-49
394710,Q4525583,Igor Shmakov,actor,Male,Russia,Artist,1985,2011.0,natural causes,26.0,18-29
394761,Q4525839,Viktor Schnittke,writer,Male,Germany,Artist,1937,1994.0,,57.0,50-59
394969,Q4527837,Evgeniy Efimovitsj Sjoemskiy,actor,Male,Soviet Union,Artist,1941,1995.0,,54.0,50-59
395078,Q4529306,Ivan Shchegolev,film,Male,Russia,Artist,1961,2020.0,,59.0,50-59
395112,Q4529977,Alexey Eybozhenko,actor,Male,Soviet Union,Artist,1934,1980.0,,46.0,40-49
395144,Q4530173,Marc Akerstream,actor,Male,United States of America,Artist,1954,1998.0,,44.0,40-49
395242,Q4532583,Laura Elizabeth Ernst,actress,Female,United States of America,Artist,1957,1994.0,,37.0,30-39
395345,Q4534594,"Юнникова, Наталья Александровна",actor,Female,Russia,Artist,1980,2017.0,,37.0,30-39
395392,Q4535179,Boris Yurchenko,actor,,Russia; Soviet Union,Artist,1936,1996.0,,60.0,50-59
395426,Q4535467,Yevgeny Yufit,film,Male,Russia; Soviet Union,Artist,1961,2016.0,,55.0,50-59
395443,Q4535925,Marianna Yablonskaya,,Female,Soviet Union,Artist,1938,1980.0,,42.0,40-49
395483,Q4536741,Anatoly Yakobson,writer,Male,Israel; Soviet Union,Artist,1935,1978.0,suicide,43.0,
395553,Q4536936,Oleg Yakovlev,actor,,Russia; Soviet Union,Artist,1969,2017.0,,48.0,40-49
395618,Q4537535,Yūji Yamaguchi,film,Male,Japan,Artist,1963,2020.0,,57.0,50-59
395633,Q4538035,Stanislav Stepanovitsj Janenko,writer,Male,Soviet Union,Artist,1947,1990.0,,43.0,40-49
395686,Q4538725,Yury Yarovoy,writer,Male,Soviet Union,Artist,1932,1980.0,,48.0,40-49
395760,Q4544511,Cees Heuff,painter,Male,Kingdom of the Netherlands,Artist,1933,1993.0,,60.0,50-59
395826,Q4561862,Saulo Haarla,actor,Male,Finland,Artist,1930,1971.0,,41.0,40-49
395930,Q4567362,Dea Trier Mørch,writer,Female,Denmark,Artist,1941,2001.0,,60.0,50-59
396134,Q4574902,Hilde Heltberg,,Female,Norway,Artist,1959,2011.0,natural causes,52.0,50-59
396187,Q4577874,Florin Pucă,artist,Male,Romania,Artist,1932,1990.0,,58.0,50-59
396306,Q4581317,Magne Bleness,actor,Male,Norway,Artist,1933,1992.0,,59.0,50-59
396345,Q4582341,Lasse Myrvold,musician,Male,Norway,Artist,1953,2006.0,,53.0,50-59
396878,Q4647885,A. J. Bakunas,actor,Male,United States of America,Artist,1950,1978.0,accident,28.0,18-29
397099,Q4660391,A V. Christie,writer,Female,United States of America,Artist,1963,2016.0,,53.0,50-59
397103,Q4661119,Aadesh Shrivastava,composer,Male,India,Artist,1966,2015.0,natural causes,49.0,40-49
397262,Q4663406,Abani Chakraborty,poet,Male,India; British Raj,Artist,1941,1994.0,,53.0,50-59
397331,Q4664748,Abdel Hakim Qasem,writer,Male,Egypt,Artist,1934,1990.0,,56.0,
397354,Q4665267,Abdul Alim,singer,Male,Pakistan; Bangladesh; British Raj,Artist,1931,1974.0,,43.0,
397456,Q4665717,Abdul Sattar Baloch,,Male,,Artist,1951,2006.0,,55.0,50-59
397569,Q4666468,Abed Elrahim Abu Zakrra,poet,Male,,Artist,1943,1989.0,,46.0,40-49
397620,Q4666639,Abel Woolrich,actor,Male,Mexico,Artist,1947,2006.0,,59.0,50-59
397640,Q4667573,Abid Azad,poet,Male,Pakistan; Bangladesh,Artist,1952,2005.0,,53.0,
397661,Q4667700,Abigail McLellan,artist,Female,United Kingdom,Artist,1969,2009.0,natural causes,40.0,30-39
398038,Q4670572,Henri de Wolf,painter,Male,Kingdom of the Netherlands,Artist,1938,1986.0,,48.0,40-49
398042,Q4672010,Marian Boyer,writer,,Kingdom of the Netherlands,Artist,1954,2013.0,,59.0,50-59
398051,Q4673019,Ace Vergel,actor,Male,Philippines,Artist,1952,2007.0,,55.0,50-59
398086,Q4675465,Jan Mesdag,,Male,Kingdom of the Netherlands,Artist,1953,1988.0,,35.0,30-39
398214,Q4678916,Adam Cullen,artist,Male,Australia,Artist,1965,2012.0,,47.0,40-49
398266,Q4679246,Adam Hollander,actor,Male,United States of America,Artist,1965,1984.0,accident,19.0,18-29
398326,Q4679679,Adam Roarke,actor,Male,United States of America,Artist,1937,1996.0,natural causes,59.0,50-59
398396,Q4681255,Alexandru Mușina,writer,Male,Romania,Artist,1954,2013.0,,59.0,50-59
398526,Q4683856,Adnan Abu Hassan,musician,Male,Malaysia,Artist,1959,2016.0,natural causes,57.0,
398628,Q4684216,Adolfo Couve mendez,artist,Male,Chile,Artist,1940,1998.0,suicide,58.0,50-59
398821,Q4685178,Adrian Lee Kellard,artist,Male,United States of America,Artist,1959,1991.0,,32.0,30-39
398837,Q4685311,Cristian Pațurcă,composer,Male,Romania,Artist,1964,2011.0,,47.0,40-49
398861,Q4685523,Adriana Prieto,actress,Female,Brazil,Artist,1950,1975.0,,25.0,18-29
398901,Q4686780,Liviu Cornel Babeș,artist,Male,Romania,Artist,1942,1989.0,suicide,47.0,40-49
398905,Q4686971,Adão Dãxalebaradã,actor,Male,Brazil,Artist,1955,2004.0,,49.0,40-49
398968,Q4692563,Agim Ramadani,writer,Male,Albania,Artist,1964,1999.0,,35.0,
399108,Q4694656,Agustín Bernal,actor,Male,Mexico,Artist,1959,2018.0,natural causes,59.0,50-59
399216,Q4695874,Ahmed Joumari,writer,Male,,Artist,1939,1995.0,,56.0,50-59
399219,Q4695887,Ahmed Khaled Tawfik,writer,Male,Egypt,Artist,1962,2018.0,natural causes,56.0,
399222,Q4695906,Ahmed Mejjati,writer,Male,Morocco,Artist,1936,1995.0,,59.0,
399253,Q4696149,Ahmet Arvasi,writer,Male,Turkey,Artist,1932,1988.0,,56.0,50-59
399370,Q4700861,Aki Sirkesalo,singer,Male,Finland,Artist,1962,2004.0,accident,42.0,40-49
399474,Q4703583,Al Berard,musician,Male,United States of America,Artist,1960,2014.0,,54.0,50-59
399559,Q4703834,Al Fletcher,musician,Male,United Kingdom,Artist,1970,2016.0,,46.0,40-49
399595,Q4704028,Al Hewetson,writer,Male,,Artist,1946,2004.0,,58.0,50-59
399811,Q4704956,Al Weisel,writer,Male,United States of America,Artist,1963,2010.0,,47.0,40-49
399903,Q4706204,Alan Bold,writer,Male,United Kingdom,Artist,1943,1998.0,,55.0,50-59
399913,Q4706234,Alan Branscombe,musician,Male,United Kingdom,Artist,1936,1986.0,,50.0,40-49
400094,Q4706932,Alan Igbon,actor,Male,United Kingdom,Artist,1960,2020.0,,60.0,50-59
400124,Q4707110,Alan Lake,actor,Male,United Kingdom,Artist,1940,1984.0,suicide,44.0,40-49
400172,Q4707338,Alan Mitchell,,Male,,Artist,1960,2016.0,,56.0,50-59
400182,Q4707404,Alan Myers,,Male,United States of America,Artist,1955,2013.0,natural causes,58.0,50-59
400261,Q4707723,Alan Schechter,film,Male,United States of America,Artist,1965,2005.0,,40.0,30-39
400322,Q4707965,Alan W. Lear,writer,Male,,Artist,1953,2008.0,,55.0,50-59
401591,Q4713563,Alden Nowlan,writer,Male,Canada,Artist,1933,1983.0,,50.0,40-49
401609,Q4713887,Aldo Giorgini,artist,Male,,Artist,1934,1994.0,,60.0,50-59
401724,Q4714482,Alejandro Ariceaga,writer,Male,Mexico,Artist,1949,2004.0,,55.0,50-59
401764,Q4714683,Alejandro Sokol,musician,Male,Argentina,Artist,1960,2009.0,,49.0,40-49
401830,Q4714994,Aleksander Szeligowski,musician,Male,Poland,Artist,1934,1993.0,,59.0,50-59
401908,Q4716507,Alethea Charlton,actress,Female,United Kingdom,Artist,1931,1976.0,,45.0,40-49
402120,Q4717826,Alex Soria,musician,Male,Canada,Artist,1965,2004.0,,39.0,30-39
402749,Q4719374,Alexander Ledkovsky,composer,Male,United States of America,Artist,1944,2004.0,natural causes,60.0,50-59
403299,Q4720657,Alexandra Hay,actress,Female,United States of America,Artist,1947,1993.0,,46.0,40-49
403386,Q4721257,Alexei Blinov,artist,Male,,Artist,1965,2019.0,,54.0,50-59
403404,Q4721428,Alexis Cohen,singer,Female,United States of America,Artist,1983,2009.0,accident,26.0,18-29
403657,Q4722246,Alfred Arteaga,writer,Male,United States of America,Artist,1950,2008.0,,58.0,50-59
404733,Q4724256,Algis Skačkauskas,artist,Male,Lithuania,Artist,1955,2009.0,,54.0,50-59
404788,Q4724905,Ali Jaleel,musician,Male,Maldives,Artist,1979,2009.0,suicide,30.0,
404812,Q4725105,Ali Osman,composer,Male,,Artist,1958,2017.0,,59.0,50-59
404821,Q4725177,Ali Sajadi Hoseini,film,Male,Iran,Artist,1953,1994.0,,41.0,40-49
405045,Q4726706,Alina Briedelytė-Kavaliauskienė,artist,Female,Lithuania,Artist,1942,1992.0,,50.0,40-49
405125,Q4730471,Allan Barty,musician,Male,United Kingdom,Artist,1949,2008.0,,59.0,50-59
405370,Q4731573,Allen Case,actor,Male,United States of America,Artist,1934,1986.0,,52.0,50-59
405828,Q4738062,Alvin Cash,actor,Male,United States of America,Artist,1939,1999.0,,60.0,50-59
405937,Q4739184,Amal Abul-Qassem Donqol,poet,Male,Egypt,Artist,1940,1983.0,natural causes,43.0,
405957,Q4739521,Amancio D'Silva,musician,Male,India; British Raj,Artist,1936,1996.0,,60.0,50-59
405960,Q4739604,Amanda Davis,writer,Female,United States of America,Artist,1971,2003.0,,32.0,30-39
405978,Q4740048,Amar Singh Chamkila,musician,Male,India,Artist,1960,1988.0,homicide,28.0,18-29
406145,Q4746575,Amir Kertes,musician,Male,Israel,Artist,1964,2018.0,,54.0,50-59
406171,Q4747519,Amon Liner,writer,Male,United States of America,Artist,1940,1976.0,,36.0,30-39
406255,Q4747968,Amos N. Wilson,writer,Male,United States of America,Artist,1941,1995.0,,54.0,50-59
406274,Q4749096,Amy Bartlett,writer,Female,United States of America,Artist,1949,2004.0,,55.0,50-59
406277,Q4749115,Amy Bourret,,Female,United States of America,Artist,1962,2015.0,,53.0,50-59
406309,Q4749434,Amy Wallace,writer,Female,United States of America,Artist,1955,2013.0,,58.0,50-59
406346,Q4750360,Ana Gloria Moya,writer,Female,Argentina,Artist,1954,2013.0,,59.0,50-59
406367,Q4750581,Anabel Bosch,musician,Female,Philippines,Artist,1976,2009.0,,33.0,30-39
406386,Q4751424,Anant Balani,film,Male,India,Artist,1962,2003.0,,41.0,40-49
406477,Q4753799,Anders Göthberg,musician,Male,Sweden,Artist,1975,2008.0,suicide,33.0,30-39
406549,Q4754899,Andre Vltchek,writer,Male,United States of America,Artist,1963,2020.0,,57.0,50-59
406608,Q4755428,Andreas Georgiou Thomas,poet,Male,,Artist,1942,2002.0,,60.0,50-59
406676,Q4755736,Andrei Bodiu,writer,Male,Romania,Artist,1965,2014.0,,49.0,40-49
406992,Q4757363,Andrew Hull,film,Male,Canada,Artist,1963,2010.0,,47.0,40-49
407161,Q4757985,Andrew McMillan,musician,Male,Australia,Artist,1957,2012.0,,55.0,50-59
407227,Q4758308,Andrew Princz,writer,Male,Canada,Artist,1970,2011.0,,41.0,40-49
407348,Q4758852,Andrew Waterhouse,poet,Male,,Artist,1958,2001.0,,43.0,40-49
407530,Q4760036,André Pretorius,musician,Male,Brazil,Artist,1961,1988.0,,27.0,18-29
407575,Q4760238,Andrés Montoya,writer,Male,United States of America,Artist,1968,1999.0,,31.0,30-39
407615,Q4760512,Andy Chapin,musician,Male,United States of America,Artist,1951,1985.0,accident,34.0,30-39
407631,Q4760607,Andy Dog Johnson,artist,Male,United Kingdom,Artist,1959,2016.0,,57.0,50-59
407656,Q4760835,Andy Houts,actor,Male,United States of America,Artist,1965,1997.0,natural causes,32.0,30-39
407657,Q4760837,Andy Hughes,musician,Male,United Kingdom,Artist,1965,2009.0,natural causes,44.0,40-49
407668,Q4760905,Andy Knight,film,Male,Canada,Artist,1961,2008.0,natural causes,47.0,40-49
407674,Q4760942,Andy Lewis,musician,Male,Australia,Artist,1966,2000.0,suicide,34.0,30-39
407708,Q4761178,Andy Poe,actor,Male,Philippines,Artist,1945,1995.0,natural causes,50.0,40-49
407756,Q4761573,Anecy Rocha,,Female,Brazil,Artist,1942,1977.0,accident,35.0,30-39
407983,Q4764310,Angèle Christiane Rawiri,writer,Female,Gabon,Artist,1954,2010.0,,56.0,
408003,Q4764636,Anil Ghorai,writer,Male,India,Artist,1957,2014.0,,57.0,50-59
408007,Q4764670,Anil Panachooran,film,Male,India,Artist,1965,2021.0,,56.0,50-59
408030,Q4765549,Anita Hoffman,writer,Female,United States of America,Artist,1942,1998.0,natural causes,56.0,50-59
408067,Q4766249,Ann Barnes,actress,Female,United States of America,Artist,1945,2005.0,,60.0,50-59
408102,Q4766369,Ann Downer,writer,Female,United States of America,Artist,1960,2015.0,,55.0,50-59
408176,Q4766684,Ann Stephens,actress,Female,United Kingdom,Artist,1931,1966.0,,35.0,30-39
408187,Q4766745,Ann Williams,,Female,United States of America,Artist,1936,1985.0,natural causes,49.0,40-49
408285,Q4767152,Anna Keaveney,,Female,,Artist,1949,2004.0,natural causes,55.0,50-59
408286,Q4767159,Anna King,writer,Female,,Artist,1948,2003.0,,55.0,50-59
408296,Q4767189,Anna Kristina Kallin,actor,Female,Sweden,Artist,1953,2004.0,,51.0,50-59
408359,Q4767394,Anna Palk,actress,Female,United Kingdom,Artist,1941,1990.0,natural causes,49.0,40-49
408408,Q4767608,Anna Westberg,writer,Female,Sweden,Artist,1946,2005.0,,59.0,50-59
408471,Q4768227,Anne Chu,artist,Female,United States of America,Artist,1959,2016.0,,57.0,50-59
408557,Q4768539,Anne Lindbergh,,Female,United States of America,Artist,1940,1993.0,,53.0,50-59
408559,Q4768547,Anne Lloyd,singer,Female,United States of America,Artist,1942,1999.0,,57.0,50-59
408682,Q4769060,Annette Daniels,,Female,United States of America,Artist,1961,2004.0,natural causes,43.0,40-49
408695,Q4769117,Annette Snell,singer,Female,United States of America,Artist,1945,1977.0,,32.0,30-39
408790,Q4769572,Anno Birkin,musician,Male,United Kingdom,Artist,1980,2001.0,accident,21.0,18-29
408851,Q4771106,Ante Čedo Martinić,actor,Male,Croatia,Artist,1960,2011.0,natural causes,51.0,
408868,Q4771945,"Anthony ""Sooty"" Jones",musician,Male,United States of America,Artist,1952,1999.0,,47.0,40-49
408869,Q4771947,Anthony 'Scooter' Teague,actor,Male,United States of America,Artist,1940,1989.0,,49.0,40-49
408894,Q4772019,Anthony Armstrong Jones,singer,Male,United States of America,Artist,1949,1996.0,,47.0,40-49
409177,Q4772959,Anthony Lovett,writer,Male,United States of America,Artist,1961,2014.0,,53.0,50-59
409199,Q4773077,Anthony McNeill,musician,Male,Jamaica,Artist,1941,1996.0,,55.0,
409319,Q4773510,Anthony Stark,film,Male,United States of America,Artist,1961,2011.0,,50.0,40-49
409420,Q4775423,"Antoine ""T.C.D."" Lundy",singer,Male,United States of America,Artist,1964,1998.0,natural causes,34.0,30-39
409599,Q4776018,Anton Strout,writer,Male,United States of America,Artist,1970,2020.0,,50.0,40-49
409956,Q4777184,Antony Balch,film,Male,United Kingdom,Artist,1937,1980.0,,43.0,40-49
409993,Q4777412,Antti Koivumäki,poet,Male,Finland,Artist,1976,2002.0,accident,26.0,18-29
410087,Q4778504,Aníbal López,artist,Male,Guatemala,Artist,1964,2014.0,,50.0,
410126,Q4782043,April Lawton,musician,Female,United States of America,Artist,1948,2006.0,,58.0,50-59
410595,Q4786966,Lesley Fitz-Simons,actress,Female,United Kingdom,Artist,1961,2013.0,natural causes,52.0,50-59
410621,Q4790109,Ari Jósefsson,poet,Male,Iceland,Artist,1939,1964.0,accident,25.0,
410669,Q4791539,Arjen Arî,poet,Male,,Artist,1956,2012.0,,56.0,50-59
411022,Q4794738,Arnette Lamb,writer,Female,United States of America,Artist,1947,1998.0,natural causes,51.0,50-59
411120,Q4795045,Arnold Federbush,writer,Male,United States of America,Artist,1935,1993.0,,58.0,50-59
411399,Q4796904,Art Jarvinen,composer,Male,United States of America,Artist,1956,2010.0,,54.0,50-59
412714,Q4799629,Arthur Maia,musician,Male,Brazil,Artist,1962,2018.0,natural causes,56.0,50-59
413495,Q4800979,Artie Gold,poet,Male,Canada,Artist,1947,2007.0,,60.0,50-59
413574,Q4802145,Arun Thapa,singer,Male,Nepal,Artist,1952,1999.0,,47.0,
413624,Q4802537,Arvydas Bagdžius,artist,Male,Lithuania,Artist,1958,2008.0,,50.0,40-49
413789,Q4805898,Ashraf Sinclair,actor,Male,Malaysia,Artist,1979,2020.0,,41.0,
414077,Q4819989,Pablo Cedrón,actor,Male,Argentina,Artist,1958,2017.0,,59.0,50-59
414264,Q4821038,Auguste Baillayre,painter,Male,France,Artist,1958,2009.0,,51.0,50-59
414527,Q4822060,Kerim Tekin,singer,,Turkey,Artist,1975,1998.0,accident,23.0,18-29
414548,Q4822250,Aurelija Mikušauskaitė,actress,Female,Lithuania,Artist,1937,1974.0,,37.0,30-39
414734,Q4829415,Avraham Ofek,artist,Male,Bulgaria; Israel,Artist,1935,1990.0,,55.0,
414831,Q4831341,Ayla Dikmen,singer,Female,Turkey,Artist,1944,1990.0,natural causes,46.0,40-49
414863,Q4832583,Azim Khamisa,writer,Male,,Artist,1959,2018.0,,59.0,50-59
414870,Q4832682,Aziz Nabaty,,Male,Iraq,Artist,1949,2002.0,,53.0,
414878,Q4832882,Metin Kaçan,writer,Male,Turkey,Artist,1961,2013.0,suicide,52.0,50-59
414881,Q4833013,Azucena Hernández,actress,Female,Spain,Artist,1960,2019.0,,59.0,50-59
414887,Q4833817,B.J. Turner,actor,,United States of America,Artist,1949,1993.0,,44.0,40-49
414899,Q4833913,B. B. Gabor,singer,Male,Canada,Artist,1948,1990.0,suicide,42.0,40-49
414903,Q4833926,B. B. Watson,singer,Male,United States of America,Artist,1953,2013.0,,60.0,50-59
414946,Q4834065,B. Jaya,film,Female,India,Artist,1964,2018.0,natural causes,54.0,50-59
414974,Q4834166,B. R. Pettit,artist,Male,United States of America,Artist,1947,2006.0,,59.0,50-59
415000,Q4834256,B. W. Stevenson,singer,Male,United States of America,Artist,1949,1988.0,,39.0,30-39
415030,Q4837369,Baba Punhan,writer,Male,Azerbaijan,Artist,1948,2004.0,,56.0,
415067,Q4838199,Baby Bell,,Female,Argentina,Artist,1943,2000.0,,57.0,50-59
415155,Q4845705,James Cleveland,musician,Male,United States of America,Artist,1931,1991.0,,60.0,50-59
415180,Q4847246,Harry Herman,singer,Male,Belgium,Artist,1946,1979.0,,33.0,30-39
415302,Q4858200,Kiril Variyski,actor,,Bulgaria,Artist,1954,1996.0,,42.0,40-49
415345,Q4858785,Barbara Buczek,composer,Female,Poland,Artist,1940,1993.0,,53.0,50-59
415389,Q4858957,Barbara Hanrahan,writer,Female,Australia,Artist,1939,1991.0,,52.0,50-59
415455,Q4859188,Barbara Ninde Byfield,writer,Female,United States of America,Artist,1930,1988.0,,58.0,50-59
415473,Q4859289,Barbara Schwartz,artist,Female,United States of America,Artist,1949,2006.0,,57.0,50-59
415490,Q4859362,Barbara Thornton,singer,Female,United States of America,Artist,1950,1998.0,,48.0,40-49
415513,Q4859728,Barboura Morris,actress,Female,United States of America,Artist,1932,1975.0,natural causes,43.0,40-49
415714,Q4864214,Barry Evans,actor,Male,United Kingdom,Artist,1943,1997.0,,54.0,50-59
415742,Q4864373,Barry Kay,artist,Male,Australia,Artist,1932,1985.0,,53.0,50-59
415757,Q4864456,Barry MacSweeney,poet,Male,United Kingdom,Artist,1948,2000.0,,52.0,50-59
415793,Q4864679,Barry Robins,actor,Male,United States of America,Artist,1945,1986.0,,41.0,40-49
415794,Q4864682,Barry Rogers,musician,Male,United States of America,Artist,1935,1991.0,,56.0,50-59
416307,Q4877249,Beatriz Azurduy Palacios,film,Female,Bolivia,Artist,1952,2003.0,,51.0,
416313,Q4877274,Beatriz da Costa,,Female,,Artist,1974,2012.0,,38.0,30-39
416343,Q4879123,Nazif Mujic,actor,Male,,Artist,1970,2018.0,,48.0,40-49
416471,Q4885374,Ben Byer,actor,Male,United States of America,Artist,1971,2008.0,natural causes,37.0,30-39
416528,Q4885667,Ben Frank,actor,Male,United States of America,Artist,1934,1990.0,,56.0,50-59
416625,Q4886161,Ben McPeek,musician,Male,Canada,Artist,1934,1981.0,,47.0,40-49
416708,Q4886594,Ben Unwin,actor,Male,Australia,Artist,1977,2019.0,,42.0,40-49
416944,Q4888390,Benjamin Chee Chee,artist,Male,Canada,Artist,1944,1977.0,suicide,33.0,30-39
417052,Q4888584,Benjamin Filipović,film,Male,,Artist,1962,2006.0,,44.0,40-49
417106,Q4888679,Benjamin Frater,poet,Male,Australia,Artist,1979,2007.0,,28.0,18-29
417513,Q4890005,Benny Joy,musician,Male,United States of America,Artist,1935,1988.0,,53.0,50-59
417622,Q4891757,Bergþóra Árnadóttir,,Female,Iceland,Artist,1948,2007.0,,59.0,
417857,Q4893230,Bernard Holman,artist,Male,New Zealand,Artist,1941,1988.0,,47.0,40-49
417890,Q4893307,Bernard Kabanda,musician,Male,Uganda,Artist,1959,1999.0,,40.0,
418024,Q4893636,Bernard Seigal,musician,Male,United States of America,Artist,1957,2006.0,,49.0,40-49
418498,Q4895256,Laly Soldevila,,Female,Spain,Artist,1933,1979.0,natural causes,46.0,40-49
418580,Q4895406,Berta Bojetu,actor,Female,Slovenia; Socialist Federal Republic of Yugoslavia,Artist,1946,1997.0,,51.0,50-59
418855,Q4898156,Beto,,Male,Portugal,Artist,1967,2010.0,,43.0,40-49
418870,Q4898328,Betsy Rutherford,musician,Female,United States of America,Artist,1944,1991.0,,47.0,40-49
418918,Q4898799,Iñaki Beti Sáez,writer,Male,Spain,Artist,1959,2012.0,,53.0,50-59
418955,Q4898887,Betty Lago,actress,Female,Brazil,Artist,1955,2015.0,natural causes,60.0,50-59
418956,Q4898888,Betty Lambert,writer,Female,Canada,Artist,1933,1983.0,,50.0,40-49
419038,Q4899424,Beverley O'Sullivan,actor,Female,Ireland,Artist,1981,2009.0,,28.0,18-29
419059,Q4899579,Beverly Jensen,writer,Female,United States of America,Artist,1953,2003.0,,50.0,40-49
419152,Q4905763,Big George,composer,Male,United Kingdom,Artist,1957,2011.0,,54.0,50-59
419166,Q4907165,Bijan Mofid,artist,Male,Iran,Artist,1935,1984.0,,49.0,40-49
419179,Q4907581,Sonia Martínez Mecha,actress,Female,Spain,Artist,1963,1994.0,,31.0,30-39
419759,Q4909226,Bill Griffiths,poet,Male,,Artist,1948,2007.0,,59.0,50-59
419922,Q4909576,Bill Jaaska,,Male,,Artist,1961,2009.0,,48.0,40-49
420226,Q4910263,Bill Morrissey,musician,Male,United States of America,Artist,1951,2011.0,,60.0,50-59
420253,Q4910329,Bill Neskovski,actor,Male,Australia,Artist,1964,1989.0,,25.0,18-29
420266,Q4910361,Bill Novey,artist,Male,United States of America,Artist,1948,1991.0,,43.0,40-49
420274,Q4910388,Bill Oakley,,Male,,Artist,1964,2004.0,natural causes,40.0,30-39
420483,Q4910878,Bill Simpson,film,Male,United Kingdom,Artist,1931,1986.0,,55.0,50-59
420533,Q4910979,Bill Stapleton,musician,Male,United States of America,Artist,1945,1984.0,,39.0,30-39
420757,Q4911845,Billie Hammerberg,actress,Female,Australia,Artist,1936,1995.0,natural causes,59.0,50-59
420820,Q4912238,Billy Booth,actor,Male,United States of America,Artist,1949,2006.0,,57.0,50-59
420833,Q4912285,Billy Brown,musician,Male,Ireland,Artist,1943,1999.0,natural causes,56.0,50-59
420867,Q4912376,Billy Constable,musician,Male,United States of America,Artist,1959,2015.0,,56.0,50-59
420975,Q4912639,Billy Greenhorn,writer,Male,United States of America,Artist,1937,1995.0,,58.0,50-59
421017,Q4912741,Billy Hughes,actor,Male,United States of America,Artist,1948,2005.0,,57.0,50-59
421220,Q4913267,Billy Rush Masters,musician,Male,United States of America,Artist,1950,1981.0,,31.0,30-39
421400,Q4919537,Bjarne Liller,singer,Male,Denmark,Artist,1935,1993.0,,58.0,50-59
421486,Q4924146,Blair Milan,actor,Male,Australia,Artist,1981,2011.0,natural causes,30.0,18-29
421720,Q4931855,Bob Blue,musician,Male,United States of America,Artist,1948,2006.0,natural causes,58.0,50-59
422180,Q4933128,Bob Lazarus,actor,Male,United States of America,Artist,1956,2009.0,natural causes,53.0,50-59
422231,Q4933280,Bob Mason,actor,Male,United Kingdom,Artist,1952,2004.0,,52.0,50-59
422242,Q4933300,Bob Mayo,musician,Male,United States of America,Artist,1951,2004.0,natural causes,53.0,50-59
422247,Q4933307,Bob McBride,singer,Male,Canada,Artist,1946,1998.0,,52.0,50-59
422411,Q4933751,Rosie Nix Adams,singer,Female,United States of America,Artist,1958,2003.0,,45.0,40-49
422447,Q4933859,Maude Adelson,actress,,Sweden,Artist,1941,1977.0,,36.0,30-39
422531,Q4934098,Bob Stinson,musician,Male,United States of America,Artist,1959,1995.0,,36.0,30-39
422699,Q4934611,Marie Ahrle,actress,Female,Sweden,Artist,1945,2003.0,,58.0,50-59
