,id,name,short_description,gender,country,occupation,birth_year,death_year,manner_of_death,age_of_death,agerange
71241,Q472759,Ibrahim Ghannam,artist,Male,Palestine,Artist,1930,1984.0,,54.0,
71264,Q472868,James Isaac,film,Male,United States of America,Artist,1960,2012.0,natural causes,52.0,50-59
71457,Q474658,Onno Meijer,actor,,Kingdom of the Netherlands,Artist,1960,2008.0,,48.0,40-49
71698,Q478443,Glenn Corbett,actor,Male,United States of America,Artist,1933,1993.0,natural causes,60.0,50-59
71976,Q483148,Michael Clarke Duncan,actor,Male,United States of America,Artist,1957,2012.0,natural causes,55.0,50-59
71981,Q483277,Park Yong-ha,singer,Male,South Korea,Artist,1977,2010.0,suicide,33.0,30-39
72069,Q485059,Shin Hae Chul,musician,Male,South Korea; Korea,Artist,1968,2014.0,natural causes,46.0,
72091,Q485293,Chang Hyo-hui,,Male,South Korea,Artist,1948,2003.0,,55.0,50-59
72101,Q485529,Aleksandr Dedyushko,actor,Male,Russia; Soviet Union,Artist,1962,2007.0,accident,45.0,40-49
72108,Q485635,Keith Haring,artist,Male,United States of America,Artist,1958,1990.0,natural causes,32.0,30-39
72301,Q487942,Richie Kamuca,musician,Male,United States of America,Artist,1930,1977.0,natural causes,47.0,40-49
72408,Q490198,Emile Ardolino,film,Male,United States of America,Artist,1943,1993.0,natural causes,50.0,40-49
72443,Q490944,Anders Frandsen,singer,Male,Denmark,Artist,1960,2012.0,,52.0,50-59
72466,Q491235,Anders Paulrud,writer,Male,Sweden,Artist,1951,2008.0,natural causes,57.0,50-59
72520,Q492169,Richard Jordan,,Male,United States of America,Artist,1937,1993.0,natural causes,56.0,50-59
72670,Q494576,Andrea Neumann,painter,,Germany,Artist,1969,2020.0,,51.0,50-59
72808,Q496177,Andreas Bisowski,actor,Male,Germany,Artist,1973,2011.0,,38.0,30-39
73057,Q497972,Andreas Herder,actor,Male,Germany,Artist,1964,2018.0,,54.0,50-59
73082,Q498314,Nakamura Kanzaburō XVIII,actor,Male,Japan,Artist,1955,2012.0,,57.0,50-59
73097,Q498503,Bill Bixby,actor,Male,United States of America,Artist,1934,1993.0,natural causes,59.0,50-59
73115,Q498612,Andreas Junge,painter,Male,Germany,Artist,1959,2009.0,,50.0,40-49
73145,Q498840,David Janssen,actor,Male,United States of America,Artist,1931,1980.0,natural causes,49.0,40-49
73177,Q499145,Andreas Köss,actor,Male,Germany,Artist,1961,2019.0,,58.0,50-59
73206,Q499335,Andreas Ludwig,painter,Male,Germany,Artist,1964,2008.0,,44.0,40-49
73328,Q500157,Talitha Getty,actress,Female,Kingdom of the Netherlands,Artist,1940,1971.0,,31.0,30-39
73421,Q500913,Andreas Thiel,film,Male,Germany,Artist,1957,2006.0,,49.0,40-49
73481,Q501429,Skip Spence,musician,Male,United States of America,Artist,1946,1999.0,natural causes,53.0,50-59
73554,Q502128,J. T. Walsh,actor,Male,United States of America,Artist,1943,1998.0,natural causes,55.0,50-59
73609,Q502990,Rachid Taha,singer,Male,Algeria,Artist,1958,2018.0,natural causes,60.0,
73639,Q503289,Michael O'Hare,actor,Male,United States of America,Artist,1952,2012.0,natural causes,60.0,50-59
73698,Q503680,David H. Rosenthal,writer,Male,United States of America,Artist,1945,1992.0,,47.0,40-49
73732,Q503886,Sterling Morrison,musician,Male,United States of America,Artist,1942,1995.0,natural causes,53.0,50-59
74076,Q505743,Andrew Koenig,actor,Male,United States of America,Artist,1968,2010.0,suicide,42.0,40-49
74199,Q506364,Francisco Ribeiro,musician,Male,Portugal,Artist,1965,2010.0,natural causes,45.0,40-49
74296,Q506949,Mark Behr,,Male,South Africa,Artist,1963,2015.0,,52.0,50-59
74297,Q506950,Steve Marriott,musician,Male,United Kingdom,Artist,1947,1991.0,accident,44.0,40-49
74362,Q507503,Steve Lee,musician,Male,Switzerland,Artist,1963,2010.0,accident,47.0,40-49
74537,Q508810,"Art Porter, Jr.",musician,Male,United States of America,Artist,1961,1996.0,accident,35.0,30-39
74551,Q508904,"Sergey Bodrov, Jr.",actor,Male,Russia; Soviet Union,Artist,1971,2002.0,accident,31.0,30-39
74562,Q508975,Uladzimir Karatkievich,writer,Male,Byelorussian Soviet Socialist Republic,Artist,1930,1984.0,natural causes,54.0,
74611,Q509428,Chris Jones,musician,Male,United States of America,Artist,1958,2005.0,natural causes,47.0,40-49
74695,Q510106,Giorgio Messori,writer,Male,Italy,Artist,1955,2006.0,,51.0,50-59
74701,Q510171,Kim Winona,,Female,United States of America,Artist,1930,1978.0,suicide,48.0,40-49
74725,Q510363,Ina Balin,actress,Female,United States of America,Artist,1937,1990.0,,53.0,50-59
74807,Q511008,Karen Schmeer,film,Female,United States of America,Artist,1970,2010.0,accident,40.0,30-39
74833,Q511268,Yves Sandrier,singer,Male,Switzerland,Artist,1938,1958.0,,20.0,18-29
74844,Q511377,Sara Gallardo,,Female,Argentina,Artist,1931,1988.0,,57.0,50-59
74914,Q512008,Victoria Shaw,actress,Female,Australia,Artist,1935,1988.0,,53.0,50-59
74915,Q512024,Lourdes Valera,actress,Female,Venezuela,Artist,1963,2012.0,natural causes,49.0,40-49
74926,Q512169,Hazel Rowley,writer,Female,Australia,Artist,1951,2011.0,natural causes,60.0,50-59
74942,Q512340,Václav Švejcar,artist,Male,Czech Republic,Artist,1962,2008.0,,46.0,40-49
74995,Q512847,Benny Hansen,actor,Male,Denmark,Artist,1944,1998.0,,54.0,50-59
75008,Q512923,Simona Monyová,writer,Female,Czech Republic,Artist,1967,2011.0,,44.0,40-49
75123,Q513935,Boris Piergamienszczikow,composer,Male,Russia,Artist,1948,2004.0,,56.0,50-59
75134,Q514034,Billy Powell,musician,Male,United States of America,Artist,1952,2009.0,natural causes,57.0,50-59
75194,Q514583,Carter Jefferson,musician,Male,United States of America,Artist,1945,1993.0,,48.0,40-49
75294,Q515370,Diane Gaidry,actress,Female,United States of America,Artist,1964,2019.0,,55.0,50-59
75348,Q515735,Ann Richards,singer,Female,United States of America,Artist,1935,1982.0,suicide,47.0,40-49
75415,Q516057,Geraldine Peroni,film,Female,United States of America,Artist,1953,2004.0,suicide,51.0,50-59
75458,Q516365,Jill Banner,actress,Female,United States of America,Artist,1946,1982.0,accident,36.0,30-39
75488,Q516627,Wende Wagner,actress,Female,United States of America,Artist,1941,1997.0,natural causes,56.0,50-59
75554,Q517085,Alfredo Sadel,musician,Male,Venezuela,Artist,1930,1989.0,,59.0,50-59
75758,Q518336,Vicki Sue Robinson,musician,Female,United States of America,Artist,1954,2000.0,natural causes,46.0,40-49
75842,Q518757,André Geerts,,Male,Belgium,Artist,1955,2010.0,natural causes,55.0,50-59
75944,Q519282,Joel Goldsmith,composer,Male,United States of America,Artist,1957,2012.0,natural causes,55.0,50-59
